platformId;locationDate;latitude;longitude;chronologie
34215;2017-06-13T04:59:30.000Z;47.67815;-122.13147;1
34215;2017-06-13T05:07:30.000Z;47.67785;-122.13457;2
34219;2017-06-13T04:15:34.000Z;47.67787;-122.13769;1
34219;2017-06-13T04:59:40.000Z;47.67845;-122.13154;2
34220;2017-06-13T05:00:23.000Z;47.67739;-122.1358;1
34220;2017-06-13T05:05:08.000Z;47.67746;-122.13587;2
34221;2017-06-13T04:59:42.000Z;47.67826;-122.1329;1
34221;2017-06-13T05:06:42.000Z;47.67802;-122.13574;2
34222;2017-06-13T04:15:16.000Z;47.67796;-122.13516;1
34222;2017-06-13T04:59:36.000Z;47.67805;-122.13201;2
34223;2017-06-13T04:59:50.000Z;47.67835;-122.12991;1
34223;2017-06-13T05:07:20.000Z;47.67812;-122.13047;2
34226;2017-06-13T05:06:39.000Z;47.67853;-122.13471;1
34226;2017-06-13T05:57:54.000Z;47.67614;-122.13576;2
34227;2017-06-13T04:59:28.000Z;47.67791;-122.13386;1
34227;2017-06-13T05:07:28.000Z;47.67838;-122.13095;2
34228;2017-06-13T04:15:02.000Z;47.67696;-122.13615;1
34228;2017-06-13T05:00:02.000Z;47.67826;-122.13038;2
34350;2017-06-13T05:00:36.000Z;47.67697;-122.13789;1
34350;2017-06-13T05:06:36.000Z;47.67701;-122.13796;2
34354;2017-06-13T04:15:10.000Z;47.67923;-122.13368;1
34354;2017-06-13T05:00:40.000Z;47.6777;-122.13385;2
